Periode;Production.Totale.Brute;Production.Totale.Nette;Production brute d'électricité primaire (en GWh);Production nette d'électricité primaire (en GWh);Production.Brute.Nucléaire;Production nette d'électricité nucléaire (en GWh);Production brute d'électricité hydraulique (en GWh);Production nette d'électricité hydraulique (en GWh);Production brute d'électricité éolienne (en GWh);Production nette d'électricité éolienne (en GWh);Production brute d'électricité photovoltaïque (en GWh);Production nette d'électricité photovoltaïque (en GWh);Production brute d'électricité thermique (en GWh);Production nette d'électricité thermique (en GWh);Électricité absorbée pour les pompages (en GWh);Total des importations physiques d'électricité (en GWh);Total des exportations physiques d'électricité (en GWh);Energie appelée réelle yc pertes (consommation calculée yc pertes) (en GWh);Livraisons en basse tension (BT : FC + Corse) (en GWh);Livraisons en moyenne tension (MT : FC + Corse) (en GWh);Livraisons en haute tension (en GWh);Energie appelée réelle yc pertes corrigée du climat (en GWh);Livraisons en basse tension corrigées du climat (en GWh);Livraisons en moyenne tension corrigées du climat (en GWh);Consommation d'électricité primaire (en GWh);Consommation d'électricité primaire corrigée du climat (en GWh);Puissance maximale appelée (en GW);Indice de rigueur climatique pour la France métropolitaine (ref.1 pour la période 1986-2015) (sans unité)
juin-12;39119.3578;37400.15215;36413.11314;34847.09115;28043.09;26562.38;6965.311409;6879.999416;951.156712;951.156712;453.555022;453.555022;2706.24466;2553.061;629.24;632.94;4331.58;33072.27215;11020.25;12537.88224;6805.758;33072.27215;11020.25;12537.88224;30519.21115;30519.21115;57.44;1
juil-12;39579.24362;37783.75325;36767.94978;35131.58925;30392.7;28817.59;5000.808742;4939.55822;875.104881;875.104881;499.336153;499.336153;2811.29384;2652.164;526.73;947.45;4217.27;33987.20325;11142.44;13011.68584;7051.603;33987.20325;11142.44;13011.68584;31335.03925;31335.03925;56.76;1
août-12;38024.7877;36150.46501;34913.67286;33215.45101;29967.64;28313.71;3616.214977;3571.92313;861.563898;861.563898;468.253982;468.253982;3111.11484;2935.014;486.49;956.49;4578.81;32041.65501;11060.65;12151.21268;6178.004;32041.65501;11060.65;12151.21268;29106.64101;29106.64101;55.31;1
sept-12;39686.18876;37836.85353;36685.17506;35005.70853;31764.68;30130.08;3663.13479;3618.268264;883.509545;883.509545;373.850723;373.850723;3001.0137;2831.145;615.22;610.63;4712.5;33119.76353;11296;12342.35691;6712.969;33119.76353;11296;12342.35691;30288.61853;30288.61853;58.35;1
oct-12;44652.15167;42640.48724;40637.75783;38853.32324;34577.09;32847.57;4483.510964;4428.596369;1308.341838;1308.341838;268.81503;268.81503;4014.39384;3787.164;673.38;796.3;4467.21;38296.19724;14659.95;13359.29725;7041.845;38280.97949;14647.44347;13357.87157;34509.03324;34491.36323;72.01;1.002134593
nov-12;51338.52636;49088.1468;45202.2648;43299.2208;38963.11;37119.23;4830.454504;4771.290502;1248.979934;1248.979934;159.720361;159.720361;6136.26156;5788.926;556.88;663.68;5075.92;44119.0268;19195.17;13826.4441;6870.782;44403.07726;19431.00027;13847.45208;38330.1008;38611.27129;80.55;0.969657986
déc-12;56866.68;54561.15364;50578.00528;48628.44164;41781.95;39911.77;6481.290019;6401.90638;2192.879475;2192.879475;121.885786;121.885786;6288.67472;5932.712;678.96;710.88;5177.83;49415.24364;23126.17;14134.87335;6624.707;50473.38685;24001.19804;14199.58383;43482.53164;44454.96666;90.67;0.908855795
janv-13;60165.75165;57742.76699;52609.06677;50613.81899;44317.34;42406.47;6889.037264;6804.659486;1263.585516;1263.585516;139.103988;139.103988;7556.68488;7128.948;571.76;961.74;4527.62;53605.12699;25491.99;15617.92112;7019.925;52860.5981;24872.01939;15569.40989;46476.17899;45791.3304;92.6;1.062316071
févr-13;54400.96095;52235.65336;46878.47167;45138.96536;38403.97;36748.6;6869.32323;6785.186912;1388.900831;1388.900831;216.277613;216.277613;7522.48928;7096.688;483.8;1545.73;3738.43;49559.15336;23642.54;14385.71001;6569.435;47752.4492;22137.89793;14264.52078;42462.46536;40798.69147;87.96;1.169916999
mars-13;54125.56839;51896.32575;46610.35601;44806.50275;38506.35;36781.77;6472.27766;6393.004405;1294.107275;1294.107275;337.621074;337.621074;7515.21238;7089.823;594.9;1572.52;3377.06;49496.88575;22651.12;14852.18191;7148.573;46953.12508;20544.32982;14664.20785;42407.06275;39949.03464;84.86;1.256371247
avr-13;45751.46402;43882.6161;42151.04788;40485.9971;33055.47;31479.17;7246.071506;7157.320729;1429.820698;1429.820698;419.685676;419.685676;3600.41614;3396.619;575.92;1061.29;4352.87;40015.1161;16588.91;13254.1486;6783.553;39246.60761;15951.36763;13188.26025;36618.4971;35760.92408;75.75;1.099919703
mai-13;44935.80306;43133.43454;42932.00556;41243.05954;32753.09;31169.2;8577.316294;8472.260267;1112.431889;1112.431889;489.167379;489.167379;2003.7975;1890.375;657.47;474.39;6321.41;36628.94454;14019.19;12741.61263;6733.341;32506.99544;10721.71168;12269.90905;34738.56954;29326.8583;63.15;1.768878705
juin-13;40850.88885;39123.02505;39187.19129;37553.49905;30161.8;28618.45;7376.006459;7285.664223;1112.218168;1112.218168;537.16666;537.16666;1663.69756;1569.526;581.21;284.59;6034.13;32792.27505;11276.61;12262.27139;6556.992;32792.27505;11276.61;12262.27139;31222.74905;31222.74905;56.48;1
juil-13;42495.98285;40600.3309;40201.00441;38435.2569;32379.82;30692.52;6404.859068;6326.411565;829.512959;829.512959;586.81238;586.81238;2294.97844;2165.074;540.81;303.24;5891.23;34471.5309;11175.33;13650.36644;6848.04;34471.5309;11175.33;13650.36644;32306.4569;32306.4569;57.32;1
août-13;39999.4806;38223.2046;37262.16204;35640.8286;31468.79;29903.14;4546.283401;4490.599961;705.450007;705.450007;541.638628;541.638628;2737.31856;2582.376;592.65;375.19;6630.75;31374.9946;10786.57;11976.26444;5999.668;31374.9946;10786.57;11976.26444;28792.6186;28792.6186;54.58;1
